Year,Turbine,AEP (MWh)
1997,NREL 5 MW,23631.425235970124
1997,NREL 15 MW,73566.31803306687
1998,NREL 5 MW,26736.250281576682
1998,NREL 15 MW,83147.56608862255
1999,NREL 5 MW,24665.78658131387
1999,NREL 15 MW,76780.00677397828
2000,NREL 5 MW,25848.32285365032
2000,NREL 15 MW,80245.87474084194
2001,NREL 5 MW,23295.608163630375
2001,NREL 15 MW,72823.89832738039
2002,NREL 5 MW,24406.053095791653
2002,NREL 15 MW,76141.22483601824
2003,NREL 5 MW,21818.436668532722
2003,NREL 15 MW,68204.30372085921
2004,NREL 5 MW,24342.74736031174
2004,NREL 15 MW,75835.33824274961
2005,NREL 5 MW,25397.32632266671
2005,NREL 15 MW,79054.87419966504
2006,NREL 5 MW,23712.160633510965
2006,NREL 15 MW,73966.45029612209
2007,NREL 5 MW,25624.655789368764
2007,NREL 15 MW,79542.55066363998
2008,NREL 5 MW,24512.602973247984
2008,NREL 15 MW,76204.2761735927
