Year,Turbine,AEP (MWh)
1997,NREL 5 MW,23631.425235970124
1997,NREL 15 MW,73732.71621192255
1998,NREL 5 MW,26736.250281576682
1998,NREL 15 MW,83262.50643968696
1999,NREL 5 MW,24665.78658131387
1999,NREL 15 MW,76928.36230687726
2000,NREL 5 MW,25848.32285365032
2000,NREL 15 MW,80381.92166863936
2001,NREL 5 MW,23295.608163630375
2001,NREL 15 MW,72983.1117454342
2002,NREL 5 MW,24406.053095791653
2002,NREL 15 MW,76286.80165859866
2003,NREL 5 MW,21818.436668532722
2003,NREL 15 MW,68391.37279369621
2004,NREL 5 MW,24342.74736031174
2004,NREL 15 MW,75986.88583919988
2005,NREL 5 MW,25397.32632266671
2005,NREL 15 MW,79190.30630945192
2006,NREL 5 MW,23712.160633510965
2006,NREL 15 MW,74125.222874245
2007,NREL 5 MW,25624.655789368764
2007,NREL 15 MW,79682.71401045099
2008,NREL 5 MW,24512.602973247984
2008,NREL 15 MW,76359.21818120602
